obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"390.98293"	"390.982927"	"3630"	"6.99e+06"	B	"2.84504259"	"6.01523448"	"1"	"1"		"T5720"	"L11631"	
"391.08434"	"391.084381"	"5100"	"1.37e+06"	C+	"2.75857762"	"5.92794713"	"3"	"4"		"T5720"	"L11631"	
"391.09988"	"391.099803"	"680"	"2.68e+06"	C+	"3.21118938"	"6.38043390"	"4"	"4"		"T5720"	"L11631"	
"391.36316"	"391.363135"	"4570"	"1.35e+06"	B	"2.27860466"	"5.44571679"	"2"	"3"		"T4187"	"L11631"	
"391.42727"	"391.427403"	"1660"	"5.8e+06"	D	"3.28302483"	"6.44961696"	"1"	"1"		"T2578n"	"L11631"	
"391.67307"	"391.67305"	"17000"	"9.83e+06"	B	"3.23672008"	"6.40132623"	"6"	"5"		"T5720"	"L11631"	
"391.71807"	"391.718051"	"19100"	"4.34e+05"	A	"0.99011115"	"4.15435379"	"2"	"3"		"T3548"	"L11631"	
"391.83150"	"391.83147"	"7900"	"6.03e+06"	B+	"2.48437256"	"5.64769932"	"0"	"1"		"T5720"	"L11631"	
"391.84152"	"391.84151"	"7900"	"4.22e+07"	C+	"2.84504259"	"6.00828827"	"1"	"0"		"T5720"	"L11631"	
"391.86414"	"391.864151"	"13800"	"1.17e+07"	C+	"3.01762252"	"6.18068544"	"3"	"3"		"T5720"	"L11631"	
"391.90652"	"391.906519"	"5400"	"3.72e+06"	C+	"2.99035244"	"6.15307342"	"4"	"4"		"T5720"	"L11631"	
"392.02578"	"392.025748"	"650000"	"2.60e+06"	A	"0.12126572"	"3.28302483"	"0"	"1"		"T3547"	"L11631"	
"392.0837"	"392.083636"	"1100bl"	"2.92e+06"	C+	"3.26570610"	"6.42699840"	"2"	"3"		"T5720"	"L11631"	
"392.12721"	"392.12719"	"1070"	"5.54e+04"	C+	"2.55917148"	"5.72011266"	"4"	"5"		"T5720"	"L11631"	
"392.29115"	"392.291129"	"1000000"	"1.08e+06"	A	"0.05156912"	"3.21118938"	"3"	"4"		"T3547"	"L11631"	
"392.52002"	"392.520109"	"1380"	"6.2e+06"	D	"3.29183986"	"6.44961696"	"0"	"1"		"T2578n"	"L11631"	
"392.56435"	"392.564346"	"6900"	"8.04e+06"	B	"2.83159117"	"5.98901244"	"2"	"2"		"T5720"	"L11631"	
"392.59410"	"392.594131"	"9300"	"1.67e+07"	C+	"2.85805275"	"6.01523448"	"0"	"1"		"T5720"	"L11631"	
"392.60129"	"392.601285"	"2450"	"7.26e+06"	B	"3.24096914"	"6.39809335"	"3"	"3"		"T5720"	"L11631"	
"392.77495"	"392.77465"	"407"	""		"4.26045326"	"7.4161840"	"1"	"2"		""	"L11631"	
"392.7920"	"392.791947"	"219000bl*"	"2.60e+06"	B+	"0.11011433"	"3.26570610"	"1"	"2"		"T5720"	"L11631"	
"392.7920"	"392.792194"	"219000bl*"	""		"2.83159117"	"5.98718095"	"2"	"1"		""	"L11631"	
"392.80827"	"392.808323"	"6200"	"5.64e+06"	B	"3.21118938"	"6.36664959"	"4"	"4"		"T5720"	"L11631"	
"392.91161"	"392.911653"	"2290"	"8.11e+05"	C+	"2.75857762"	"5.91320801"	"3"	"3"		"T5720"	"L11631"	
"392.92080"	"392.92081"	"1910"	"2.09e+06"	C+	"3.25148176"	"6.40603863"	"3"	"4"		"T5720"	"L11631"	
"393.02964"	"393.029640"	"1150000"	"1.99e+06"	B+	"0.08728574"	"3.24096914"	"2"	"3"		"T5720"	"L11631"	
"393.11170"	"393.111722"	"2090"	"4.8e+06"	E	"3.26570610"	"6.41873101"	"2"	"3"		"T2578n"	"L11631"	
"393.22440"	"393.224338"	"490"	""		"3.60252504"	"6.75464698"	"3"	"4"		""	"L11631"	
"393.26271"	"393.262701"	"8500"	"2.70e+06"	C+	"2.72754450"	"5.87935896"	"4"	"5"		"T5720"	"L11631"	
"393.3599"	"393.35954"	"4270bl*"	""		"4.15435379"	"7.3053924"	"3"	"2"		""	"L11631"	
"393.3599"	"393.359909"	"4270bl*"	"5.92e+06"	C+	"3.07133880"	"6.22237439"	"1"	"2"		"T5720"	"L11631"	
"393.3599"	"393.360141"	"4270bl*"	""		"3.26570610"	"6.41673983"	"2"	"1"		""	"L11631"	
"393.53065"	"393.530643"	"1050"	"2.2e+06"	D	"2.84504259"	"5.99471113"	"1"	"1"		"T2578n"	"L11631"	
"393.58122"	"393.581244"	"9300"	"1.14e+07"	C+	"2.83159117"	"5.98085478"	"2"	"2"		"T5720"	"L11631"	
"393.58602"	"393.585893"	"407"	""		"3.26570610"	"6.41493251"	"2"	"2"		""	"L11631"	
"393.73276"	"393.732723"	"7800"	"1.66e+06"	B	"2.69240763"	"5.84045966"	"5"	"4"		"T5720"	"L11631"	
"394.08773"	"394.087710"	"10000"	"1.20e+05"	A	"0.95815732"	"4.10337372"	"3"	"4"		"T3548"	"L11631"	
"394.1183"	"394.11849"	"560"	""		"3.88160368"	"7.02657446"	"4"	"4"		""	"L11631"	
"394.12750"	"394.127530"	"2570"	"9.1e+06"	D	"3.26570610"	"6.41060472"	"2"	"2"		"T2578n"	"L11631"	
"394.23638"	"394.236485"	"1100"	"5.17e+05"	C+	"2.99035244"	"6.13438193"	"4"	"3"		"T5720"	"L11631"	
"394.24397"	"394.243963"	"8300"	"9.62e+06"	C+	"2.84504259"	"5.98901244"	"1"	"2"		"T5720"	"L11631"	
"394.33404"	"394.33404"	"3630"	"6.46e+05"	C+	"2.19786640"	"5.34111814"	"2"	"1"		"T5720"	"L11631"	
"394.35751"	"394.35742"	"510"	""		"3.88350907"	"7.02657446"	"3"	"4"		""	"L11631"	
"394.47385"	"394.473766"	"437"	"1.3e+06"	E	"2.84504259"	"5.98718095"	"1"	"1"		"T2578n"	"L11631"	
"394.48890"	"394.488896"	"2820"	"1.40e+06"	B	"2.99035244"	"6.13237029"	"4"	"5"		"T5720"	"L11631"	
"394.51169"	"394.511687"	"5500"	"1.65e+06"	C+	"2.75857762"	"5.90041395"	"3"	"4"		"T5720"	"L11631"	
"394.69946"	"394.699457"	"3470"	"3.91e+06"	C+	"3.21118938"	"6.35153108"	"4"	"5"		"T5720"	"L11631"	
"394.73786"	"394.737625"	"398"	""		"2.39920471"	"5.53924278"	"5"	"4"		""	"L11631"	
"394.75306"	"394.753087"	"4270"	"5.12e+06"	B	"2.83159117"	"5.97150625"	"2"	"2"		"T5720"	"L11631"	
"394.80970"	"394.809710"	"8300"	"1.31e+07"	B	"3.24096914"	"6.38043390"	"3"	"4"		"T5720"	"L11631"	
"394.8276"	"394.827673"	"269"	""		"3.24096914"	"6.38029108"	"3"	"3"		""	"L11631"	
"394.87746"	"394.87747"	"20400"	"2.08e+07"	B	"3.26711257"	"6.40603863"	"5"	"4"		"T5720"	"L11631"	
"394.91412"	"394.91405"	"560"	"4.2e+06"	E	"3.41489715"	"6.55353246"	"1"	"1"		"T2578n"	"L11631"	
"394.99527"	"394.99525"	"29500"	"4.79e+06"	B	"2.17594512"	"5.31393522"	"3"	"2"		"T5720"	"L11631"	
"395.0138"	"395.01382"	"760"	""		"3.54652001"	"6.68436257"	"2"	"2"		""	"L11631"	
"395.11629"	"395.116320"	"15100"	"4.29e+07"	B	"3.27398440"	"6.41101300"	"1"	"2"		"T5720"	"L11631"	
"395.2601"	"395.260090"	"18200bl"	"2.97e+06"	B+	"2.69240763"	"5.82829520"	"5"	"5"		"T5720"	"L11631"	
"395.26955"	"395.269592"	"2040"	"3.48e+06"	D+	"2.84504259"	"5.98085478"	"1"	"2"		"T5720"	"L11631"	
"395.31511"	"395.315139"	"4680"	"2.97e+06"	C+	"3.01762252"	"6.15307342"	"3"	"4"		"T5720"	"L11631"	
"395.38574"	"395.385684"	"910"	"6.4e+05"	D	"2.83159117"	"5.96648265"	"2"	"3"		"T2578n"	"L11631"	
"395.4712"	"395.47119"	"457bl"	""		"3.26711257"	"6.40132623"	"5"	"5"		""	"L11631"	
"395.53410"	"395.534127"	"2400"	"1.5e+07"	D	"3.28302483"	"6.41673983"	"1"	"1"		"T2578n"	"L11631"	
"395.59552"	"395.595498"	"2570"	"4.19e+06"	B	"3.07133880"	"6.20456765"	"1"	"1"		"T5720"	"L11631"	
"395.64551"	"395.645488"	"23400"	"1.76e+07"	B	"3.23672008"	"6.36955305"	"6"	"5"		"T5720"	"L11631"	
"395.6677"	"395.66763"	"100000bl"	"1.22e+07"	B+	"2.69240763"	"5.82506529"	"5"	"6"		"T5720"	"L11631"	
