obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"469.9095"	"469.9095+"	"24"	""		"2.2391870"	"4.8769188"	"1"	"2"		""	"L9224"	
"470.0422"	"470.0422+"	"80"	"6.1e+06"	C+	"1.5667416"	"4.2037286"	"1"	"1"		"T5495"	"L9224"	
"472.4713"	"472.4713+"	"8"	""		"1.5667416"	"4.1901713"	"1"	"2"		""	"L9224"	
"472.6434"	"472.6434+"	"371"	"3.3e+07"	C	"1.4128433"	"4.0353178"	"2"	"1"		"T5037"	"L9224"	
"487.7647"	"487.7647+"	"66"	""		"2.2391870"	"4.7803629"	"1"	"2"		""	"L9224"	
"490.2848"	"490.2848+"	"63"	"5.4e+06"	C+	"1.6756148"	"4.2037286"	"2"	"1"		"T5495"	"L9224"	
"494.7312"	"494.7312+"	"25"	""		"2.2391870"	"4.7445797"	"1"	"2"		""	"L9224"	
"499.5644"	"499.5644+"	"5"	""		"1.6756148"	"4.1567688"	"2"	"3"		""	"L9224"	
"505.4958"	"505.4958+"	"19"	""		"2.2391870"	"4.6912279"	"1"	"2"		""	"L9224"	
"515.9876"	"515.9876+"	"80"	""		"2.2391870"	"4.6413703"	"1"	"2"		""	"L9224"	
"525.3804"	"525.3804+"	"5"	""		"2.2391870"	"4.5984244"	"1"	"2"		""	"L9224"	
"530.5701"	"530.5701+"	"6"	""		"2.2391870"	"4.5753480"	"1"	"1"		""	"L9224"	
"542.4548"	"542.4548+"	"199"	""		"1.5207932"	"3.8057715"	"0"	"1"		""	"L9224"	
"543.7318"	"543.7318+"	"5"	""		"2.2391870"	"4.5187988"	"1"	"1"		""	"L9224"	
"551.9044"	"551.9044+"	"280"	"5.7e+07"	C+	"1.5667416"	"3.8125974"	"1"	"2"		"T5495"	"L9224"	
"553.5481"	"553.5481+"	"1830"	"1.190e+08"	A+	"0.0000000"	"2.2391870"	"0"	"1"		"T3202"	"L9224"	
"553.5869"	"553.5869+"	"112"	""		"1.5667416"	"3.8057715"	"1"	"1"		""	"L9224"	
"559.3308"	"559.3308+"	"5"	""		"2.2391870"	"4.4552241"	"1"	"1"		""	"L9224"	
"567.9995"	"567.9995+"	"21"	""		"1.1425765"	"3.3247932"	"2"	"3"		""	"L9224"	
"568.0176"	"568.0176+"	"41"	""		"1.5667416"	"3.7488886"	"1"	"2"		""	"L9224"	
"577.7618"	"577.7619+"	"740"	"8.0e+07"	C+	"1.6756148"	"3.8209593"	"2"	"3"		"T5495"	"L9224"	
"578.4042"	"578.4043+"	"5"	"2.1e+07"	C	"2.2391870"	"4.3821487"	"1"	"2"		"T5429"	"L9224"	
"580.0226"	"580.0226+"	"203"	"2.4e+07"	C+	"1.6756148"	"3.8125974"	"2"	"2"		"T5495"	"L9224"	
