obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"537.128"	"537.136"	"0h"	""		"7.023880"	"9.331485"	"5/2"	"3/2"		""	"L772"	
"537.520"	"537.497"	"0h*"	""		"3.8166920"	"6.1227444"	"3/2"	"1/2"	M1	""	"L772"	
"537.520"	"537.507"	"0h*"	""		"3.8166920"	"6.1227049"	"3/2"	"3/2"	M1	""	"L772"	
"537.6867"	"537.6864"	"5"	""		"5.688311"	"7.993553"	"3/2"	"1/2"		""	"L772"	
"537.816"	"537.810"	"0h"	""		"6.1227444"	"8.427456"	"1/2"	"3/2"		""	"L772"	
"539.162"	"539.168"	"450h"	""		"5.505682"	"7.804590"	"5/2"	"5/2"		""	"L772"	
"539.8408"	"539.8411"	"0h"	""		"7.023880"	"9.319921"	"5/2"	"5/2"		""	"L772"	
"540.834"	"540.837"	"100h"	""		"5.724709"	"8.016523"	"3/2"	"5/2"		""	"L772"	
"543.205"	"543.2062"	"250h"	""		"5.522772"	"7.804590"	"3/2"	"5/2"		""	"L772"	
"546.3138"	"546.3124"	"150"	""		"5.724709"	"7.993553"	"3/2"	"1/2"		""	"L772"	
"553.002"	"553.03"	"1h"	""		"6.8225730"	"9.063852"	"1/2"	"3/2"		""	"L772"	
"553.578"	"553.5785"	"50"	""		"5.777459"	"8.016523"	"5/2"	"5/2"		""	"L772"	
"555.4935"	"555.4935"	"100"	""		"5.505682"	"7.737027"	"5/2"	"7/2"		""	"L772"	
"562.92"	"562.915"	"1h"	""		"6.1227049"	"8.324631"	"3/2"	"5/2"		""	"L772"	
"564.65"	"564.645"	"2h"	""		"5.688311"	"7.883492"	"3/2"	"3/2"		""	"L772"	
"570.0240"	"570.0240"	"1500"	"2.4e+05"	C+	"1.6422256"	"3.8166920"	"3/2"	"3/2"		"T1343"	"L772"	
"572.796"	"572.793"	"5"	""		"7.205884"	"9.369838"	"5/2"	"7/2"		""	"L772"	
"573.2325"	"573.2331"	"75"	""		"5.574734"	"7.737027"	"7/2"	"7/2"		""	"L772"	
"576.975"	"576.964"	"0h"	""		"7.205884"	"9.354195"	"5/2"	"5/2"		""	"L772"	
"578.2132"	"578.2126"	"1500"	"1.65e+06"	C+	"1.6422256"	"3.7858977"	"3/2"	"1/2"		"T1343"	"L772"	
"583.126"	"583.128"	"1h"	""		"7.205884"	"9.331485"	"5/2"	"3/2"		""	"L772"	
"585.11"	"585.08"	"2h"	""		"7.205884"	"9.32439"	"5/2"	"7/2"		""	"L772"	
"585.694"	"585.697"	"5h"	""		"5.688311"	"7.804590"	"3/2"	"5/2"		""	"L772"	
"593.475"	"593.474"	"1h"	""		"7.276745"	"9.365294"	"3/2"	"5/2"		""	"L772"	
"596.659"	"596.644"	"3h"	""		"7.276745"	"9.354195"	"3/2"	"5/2"		""	"L772"	
"603.233"	"603.239"	"2h"	""		"7.276745"	"9.331485"	"3/2"	"3/2"		""	"L772"	
"612.773"	"612.796"	"1h"	""		"6.7923584"	"8.815053"	"3/2"	"5/2"		""	"L772"	
